hour_of_day,weekday,motion_hall,motion_living,temperature,light_level,tv_on,minutes_idle,scenario
2,5,0,0,16.584006357503803,0.0,0,276,away
20,0,0,1,22.06392020158364,16.73502963062567,1,14,movie
12,0,1,1,22.66667516125737,76.66030697561216,0,12,day
19,3,0,1,21.5205586995855,21.51380120522909,1,9,movie
6,4,0,0,16.926055054581894,0.0,0,372,away
8,0,1,0,21.585836088918448,85.88719869707062,0,10,day
8,3,1,1,22.006366305797997,90.5849260180473,0,10,day
17,2,1,1,22.569587653545298,87.28972292720891,0,29,day
11,0,1,1,22.59035567269482,83.43254171203442,0,4,day
19,4,0,1,22.11608066153336,18.466743236562913,1,14,movie
21,2,1,1,21.933789534744445,62.312955189519876,0,20,day
15,3,0,1,21.816673291053995,73.24857748773316,0,21,day
5,0,0,0,16.653667553722702,0.0,0,356,away
11,5,0,0,22.551733398815568,83.11226579792854,0,17,day
19,2,0,1,22.428987940628577,17.23478270047354,1,20,movie
20,0,1,1,22.071212868035282,20.76194141627107,1,4,movie
3,3,0,0,17.063415876430685,0.0,0,479,away
15,2,0,1,21.982167692060955,72.18262106001671,0,12,day
18,5,1,1,22.006247059363844,19.922986635623637,1,10,movie
16,3,1,1,22.15216907345616,59.1266556604197,0,13,day
23,0,0,1,19.601101268959408,9.799548453446873,0,67,night
16,3,0,0,22.642509341080252,66.66382319990123,0,8,day
17,1,1,0,22.704184882474436,58.726795768076514,0,22,day
7,5,1,1,21.076971072805772,88.43277704628322,0,6,day
11,5,1,0,23.16106733479255,73.60644372526976,0,19,day
2,5,0,0,17.087998673588707,0.0,0,270,away
4,3,0,0,17.33404449836583,0.0,0,358,away
3,4,0,0,16.52449477827086,0.0,0,157,away
19,1,1,1,22.2175754734072,58.22221842320981,0,3,day
23,2,0,0,20.335250627157752,12.993461783383573,0,66,night
16,3,0,0,20.920772231561212,78.67711462343836,0,29,day
7,3,1,1,21.72960455679181,94.39588138472587,0,5,day
0,6,0,0,16.936546065184526,0.0,0,229,away
13,2,1,1,22.368412060170854,93.67929913579883,0,3,day
22,5,0,1,21.40752811679149,14.139532951070512,1,2,movie
13,3,0,0,21.658243693147785,85.31573012874244,0,11,day
15,2,1,1,21.807127382742365,80.4607220148208,0,16,day
1,2,0,0,16.48882497027215,0.0,0,277,away
3,6,0,0,17.631636502564174,0.0,0,425,away
21,1,1,1,22.109691250681927,16.35629107666505,1,18,movie
9,2,1,0,22.309940662333144,63.755309682795,0,29,day
5,0,0,0,17.68946628831332,0.0,0,164,away
21,1,0,1,21.446477158978254,14.421091924176695,1,20,movie
18,2,1,1,22.168787274399467,23.629927445254868,1,20,movie
6,0,0,0,17.257575517310745,0.0,0,469,away
2,2,0,0,16.662707891882853,0.0,0,302,away
18,4,0,1,22.457951271178008,12.694429129041744,1,17,movie
3,3,0,0,17.195405674979707,0.0,0,164,away
1,2,0,0,16.868930762255214,0.0,0,167,away
11,3,0,1,21.782434432997576,73.761411831195,0,20,day
14,3,1,1,22.254293868976724,78.28228330138906,0,0,day
23,1,0,0,19.88504665538033,6.073115996325994,0,78,night
15,5,1,1,21.762549697353833,69.45853559932203,0,14,day
5,2,0,0,16.575034235256176,0.0,0,311,away
22,6,1,1,22.46193036539632,59.24589956597954,0,25,day
20,1,1,1,21.45160721077268,25.347654113285255,1,9,movie
23,0,0,1,19.852700417284787,9.68311110188102,0,35,night
19,2,0,1,22.217383037233308,16.495375715079604,1,6,movie
13,1,1,1,22.040167505994628,78.32169889626256,0,25,day
1,3,0,0,17.405086327127933,0.0,0,333,away
19,2,0,1,22.000042196545706,15.11376786582861,1,11,movie
1,3,0,0,18.125633545305913,0.0,0,185,away
5,1,0,0,17.629341960990097,0.0,0,462,away
9,1,1,0,21.53255311680995,87.91142953088865,0,1,day
2,0,0,0,17.192057361356646,0.0,0,368,away
2,5,0,0,17.181768135285743,0.0,0,424,away
5,6,0,0,16.81139007702002,0.0,0,329,away
18,4,1,1,21.976281256051234,71.77193578394525,0,16,day
20,3,0,1,22.14799699484355,16.51234167471484,1,9,movie
11,1,1,1,22.718296808218913,72.71474776877106,0,12,day
10,2,1,1,22.980026756819374,81.82655241987707,0,26,day
11,5,1,0,22.46339589524298,84.2798817679706,0,10,day
13,3,1,1,22.79375036075691,64.21696376885134,0,18,day
16,3,1,0,22.650521393238755,94.20646157646802,0,26,day
13,0,0,1,21.49679568444311,70.81720157633725,0,12,day
14,3,0,0,22.219669255725755,63.83439850618872,0,24,day
1,0,0,0,17.124803788620497,0.0,0,166,away
13,0,1,0,22.243220143939546,80.13890285372693,0,17,day
12,3,1,0,22.55454379367601,60.184056005460576,0,22,day
2,3,0,0,17.338633594337363,0.0,0,357,away
22,5,1,0,22.017200446349346,62.162745914253804,0,20,day
8,3,1,1,21.991696932176747,93.99894548146176,0,3,day
13,3,1,0,21.75384706271246,67.77749982709679,0,11,day
18,4,0,1,22.428396991283265,21.367280267560247,1,10,movie
10,0,0,0,20.997886624760092,92.04254361517141,0,1,day
16,3,1,0,21.449011671536315,59.987220628811464,0,0,day
7,3,1,1,22.062093921406387,89.65764507597132,0,5,day
2,2,0,0,17.02174143415615,0.0,0,479,away
16,1,0,1,22.282944859235208,83.60133085375854,0,21,day
21,6,1,1,22.098388048328477,21.282113901669675,1,0,movie
0,6,0,0,17.208466902292844,0.0,0,448,away
0,0,0,0,17.33180761680963,0.0,0,121,away
19,4,1,0,21.56086777992241,65.99547119782193,0,25,day
22,0,0,1,21.515272416596435,70.82868711655517,0,20,day
13,4,0,1,21.31167809246099,67.11866146266348,0,0,day
6,0,0,0,17.688307932466394,0.0,0,376,away
17,4,1,0,22.484818253077922,74.68913349312274,0,14,day
17,2,1,1,21.558148553226186,69.45716723312445,0,5,day
13,5,1,0,22.417153112357305,89.20661655528167,0,16,day
7,2,1,1,21.634255913951375,94.68755466746427,0,6,day
3,1,0,0,16.94754498791866,0.0,0,369,away
9,6,1,1,22.296114355990245,86.76240157466385,0,14,day
14,2,1,0,22.38834492687453,67.66631194050595,0,26,day
5,6,0,0,16.553046354804156,0.0,0,332,away
22,0,0,1,22.552996684953648,14.151635534633492,1,7,movie
13,4,1,0,22.571502670185236,72.60741516115985,0,21,day
8,3,1,1,21.803169531181133,100.0,0,10,day
12,5,0,0,22.165930083364383,74.29592418835796,0,22,day
6,5,0,0,17.17212054358302,0.0,0,307,away
20,2,1,1,22.542643502222955,19.46612562894892,1,10,movie
1,1,0,0,17.18158623172348,0.0,0,296,away
4,5,0,0,16.26743756631395,0.0,0,233,away
21,0,0,1,22.347592490985843,54.244158133721676,0,17,day
2,3,0,0,16.782601796826945,0.0,0,251,away
1,6,0,0,17.173953708585458,0.0,0,273,away
7,5,1,1,21.651338318651185,88.59686483809443,0,7,day
